question,answer,product,technologies
What jurisdiction do you cover for electrical and gas?,"Technical Safety BC administers the Safety Standards Act and Railway Safety Act throughout British Columbia. If you are installing, operating, manufacturing, altering, maintaining, or selling equipment in any of the technologies regulated by TSBC, including electrical and gas, you may be within Technical Safety BC jurisdiction.

However, there are some exemptions in certain municipalities. There are 10 municipalities that are delegated portions of the Safety Standards Act to issue electrical and/or gas permits and to perform assessments. These municipalities include the City of Burnaby, City of Kelowna, City of Maple Ridge, City of North Vancouver, District of North Vancouver, City of Richmond, City of Surrey, City of Vancouver, City of Victoria, and District of West Vancouver. In these areas, Technical Safety BC typically does not issue permits or perform assessments for electrical or gas work and equipment.

For gas, local governments can issue natural gas installation permits for fully detached dwellings serviced by a single meter at 2 psig (14 kPa) or less, and any premise other than a fully detached dwelling if the gas meter pressure is 2 psi (14 kPa) or less and the total connected load is 409,600 BTU/hr (120 kW) or less. Technical Safety BC has jurisdiction over all other regulated gases such as propane, methane, and hydrogen.

Even though these 10 jurisdictions have oversight for electrical and/or gas, Technical Safety BC still oversees contractor licensing and certification of qualified individuals and provides oversight for all other technologies regulated by TSBC.",Other,Gas
What jurisdiction do you cover for electrical and gas?,"Technical Safety BC administers the Safety Standards Act and Railway Safety Act throughout British Columbia. If you are installing, operating, manufacturing, altering, maintaining, or selling equipment in any of the technologies regulated by TSBC, including electrical and gas, you may be within Technical Safety BC jurisdiction.

However, there are some exemptions in certain municipalities. There are 10 municipalities that are delegated portions of the Safety Standards Act to issue electrical and/or gas permits and to perform assessments. These municipalities include the City of Burnaby, City of Kelowna, City of Maple Ridge, City of North Vancouver, District of North Vancouver, City of Richmond, City of Surrey, City of Vancouver, City of Victoria, and District of West Vancouver. In these areas, Technical Safety BC typically does not issue permits or perform assessments for electrical or gas work and equipment.

For gas, local governments can issue natural gas installation permits for fully detached dwellings serviced by a single meter at 2 psig (14 kPa) or less, and any premise other than a fully detached dwelling if the gas meter pressure is 2 psi (14 kPa) or less and the total connected load is 409,600 BTU/hr (120 kW) or less. Technical Safety BC has jurisdiction over all other regulated gases such as propane, methane, and hydrogen.

Even though these 10 jurisdictions have oversight for electrical and/or gas, Technical Safety BC still oversees contractor licensing and certification of qualified individuals and provides oversight for all other technologies regulated by TSBC.",Other,Electrical
Is a current FSR code course a pre-requisite for the FSR exam for Electrical Engineers and Electrical Technologists?,"Yes, for both Electrical Engineers and Electrical Technologists, proof of completion of a recognized electrical course in the application of electrical codes and standards is required. This course should be from a recognized training provider or instructor and should be completed within three years of the application date.

For Electrical Engineers, they must also have a degree in Electrical Engineering, relevant work experience utilizing the Canadian Electrical Code  C22.1-18 Part 1, and valid registration as a professional engineer, with good standing with Engineers and Geoscientists British Columbia.

For Electrical Technologists, they must have an Electrical Engineering Technology (power option) qualification, relevant work experience utilizing the Canadian Electrical Code  C22.1-18 Part 1, and valid registration as an Applied Science Technologist with good standing with the Applied Science Technologists and Technicians of British Columbia (ASTTBC).",Certification,Electrical
"Client is applying for Class FSR A exam, what if high voltage experience is obtained outside of British Columbia?","To obtain a Class A Field Safety Representative (FSR) certificate, one of the requirements is a minimum of three documented high voltage installations since obtaining the trade certificate. The context does not specify whether this experience must be obtained within British Columbia. However, it is important to note that the completion of an H.V. training course may be considered as part of the requirements. If the experience cannot be verified by a current class A FSR, a sworn affidavit or statutory declaration outlining relevant work experience is required. You must provide documents with original signatures.",Certification,Electrical
I am an out of Province Electrician how do I apply to get my FSR in BC?,"If you have electrical qualifications and experience from outside BC, you still need to obtain a certificate of qualification in order to work as an electrical field safety representative (FSR) in this province. To become certified as an FSR, you'll need to meet certain eligibility requirements and pass a certification exam. If you don't have provincial credentials, you must have a Canadian Interprovincial Qualification (Red Seal) in the Trade of Electrician.

If you are an Alberta Master Electrician, there is a separate certification process. The equivalent certification of an Alberta Master Electrician in BC is a Class A FSR certificate of qualification, with a designation of BC Master Electrician. A Class A FSR certificate entitles you to submit declarations on behalf of your employer for any type of regulated electrical work. There are no voltage or ampere limitations.

To apply, you need to log in to your Online Services account and follow the steps. If you don't have an account, you can sign up.

For more information on the available certificate classes and their eligibility requirements, you can review the FSR classes on the TSBC website. For more information on the FSR exams, including how to book one, you can visit the Exams page on the TSBC website.",Certification,Electrical
"I'm an Alberta Master Electrician, can I transfer that to BC?","Yes, as an Alberta Master Electrician, you can transfer your certification to BC. The equivalent certification in BC is a Class A FSR (Field Safety Representative) certificate of qualification, with a designation of BC Master Electrician. This certificate allows you to submit declarations on behalf of your employer for any type of regulated electrical work, with no voltage or ampere limitations.

To obtain your Class A FSR certificate, you need to provide proof of your qualifications, a copy of your wall certificate, and a copy of your wallet card. You also need to pass an exam based on the Acts, Regulations, Directives (ARD) of BC.

Please note that this Master Electrician equivalency exists between BC and Alberta only.",Certification,Electrical
Who offers the FSR renewal course?,"The FSR renewal course is offered by recognized training providers. You can find a comprehensive list of these providers by downloading the FSR Training Provider List from the Technical Safety BC website. If you are an FSR applicant for SA (security alarm) and LO (low energy), you should inform the training provider that you wish to take a course specifically designed for your restricted FSR class, not the course for FSR Class A, B, or C.",Certification,Electrical
Who offers the FSR course?,"The Field Safety Representative (FSR) course is offered by recognized training providers. These providers offer FSR Certification Education, which is a recognized course on the application of electrical codes and standards that will help you meet the examination requirements for the various FSR Classes. They also offer FSR Renewal Continuing Education, which is a recognized course that will help you meet the requirements to renew your FSR certificate of qualification. For course availability, or to learn about and register for a course, you should contact the training provider directly. You can download a comprehensive list of recognized training providers from the TSBC website.",Certification,Electrical
Who offers the Gas course?,"Several institutions offer recognized training programs or courses for Gas certification. These include:

1. British Columbia Institute of Technology  BCIT
2. Pacific Vocational College  PVC
3. Okanagan College
4. Thompson Rivers University  TRU
5. Camosun College
6. College of New Caledonia
7. North Island College
8. UA Piping Industry College of BC
9. Kwantlen Polytechnic University  KPU
10. Refrigeration Training Institute  RTI
11. Ace Trades and Technical Institute
12. Coast Mountain Bus Company (for employees only)
13. Vancouver Community College  VCC
14. Propane Training Institute - PTI
15. TeamWorks Solutions Limited
Please note that the offerings and schedules of these training providers are not influenced by Technical Safety BC. For any feedback or requests related to scheduling, it is recommended to contact the training provider directly.",Certification,Gas
Where can I find a list of Elevating Devices training providers?,"You can find a list of recognized training providers for Elevating Devices Mechanics on the Technical Safety BC website. The following organizations provide training to Elevating Devices Mechanics:
1. National Association of Elevator Contractors (NAEC)
2. National Association of Elevator Safety Authorities (NAESA)
3. Elevator World
Courses provided by these organizations are considered pre-approved by Technical Safety BC. Please note that while TSBC works closely with training providers to recognize their courses and programs, they do not influence training provider offerings or schedules. If you have feedback or requests related to scheduling, it is recommended to contact the training provider directly.",Certification,Elevating Devices
How do I become a training provider?,"To become a recognized training provider with Technical Safety BC, you need to follow these steps:

1. Complete the application form available on the Technical Safety BC website.
2. Within five business days, your application will be assessed and you will receive an email with a secure link.
3. Use this link to upload the following documents:
- List of instructors, including their names, years of trade experience and years of teaching experience
- Qualifications of instructors, including copies of trade qualification and teaching qualifications
- Course outline and lesson plan
- Course delivery method
- Course material, which may include presentation and handouts. Submission of material for programs based on PanGlobal material is not required.
- Sample record of course completion, which should include:
- Training provider name
- Training provider address and phone number
- Instructor(s) name
- Individual�s name
- Course title
- Date of completion
4. Upon receipt of your documents, your application and attached documents will be evaluated to ensure our training requirements are met. This process is estimated to take a minimum of 10 business days.
5. Once your curriculum meets our training requirements, you will receive a recognition letter, and the name of your institution will be added to our list of recognized courses and providers for this particular education requirement.

For any questions, you can email Technical Safety BC.

Please note that the process may vary slightly depending on the specific certification you are applying for (e.g., Gas Certification, Power Engineer Certification, Safety Awareness and Operators). Therefore, it's recommended to review the specific guidelines for the certification you are interested in.",Certification,All
